Idx	AddrHex	AddrDec	Hex	Byte_1	Byte_2	UInt16	Int16	Chr	Bin
2	0x0002	2	00 01	0	1	1	1		0000 0000 0000 0001
4	0x0004	4	00 01	0	1	1	1		0000 0000 0000 0001
5	0x0005	5	00 01	0	1	1	1		0000 0000 0000 0001
6	0x0006	6	00 01	0	1	1	1		0000 0000 0000 0001
7	0x0007	7	AB F2	171	242	44018	-21518		1010 1011 1111 0010
8	0x0008	8	00 03	0	3	3	3		0000 0000 0000 0011
11	0x000b	11	00 03	0	3	3	3		0000 0000 0000 0011
12	0x000c	12	00 1F	0	31	31	31		0000 0000 0001 1111
13	0x000d	13	00 1F	0	31	31	31		0000 0000 0001 1111
14	0x000e	14	00 10	0	16	16	16		0000 0000 0001 0000
15	0x000f	15	00 03	0	3	3	3		0000 0000 0000 0011
19	0x0013	19	00 01	0	1	1	1		0000 0000 0000 0001
27	0x001b	27	00 01	0	1	1	1		0000 0000 0000 0001
29	0x001d	29	00 01	0	1	1	1		0000 0000 0000 0001
32	0x0020	32	00 01	0	1	1	1		0000 0000 0000 0001
49	0x0031	49	01 61	1	97	353	353		0000 0001 0110 0001
50	0x0032	50	00 02	0	2	2	2		0000 0000 0000 0010
52	0x0034	52	00 28	0	40	40	40		0000 0000 0010 1000
54	0x0036	54	15 8E	21	142	5518	5518		0001 0101 1000 1110
56	0x0038	56	04 60	4	96	1120	1120		0000 0100 0110 0000
57	0x0039	57	01 67	1	103	359	359		0000 0001 0110 0111
59	0x003b	59	03 04	3	4	772	772		0000 0011 0000 0100
60	0x003c	60	00 59	0	89	89	89		0000 0000 0101 1001
61	0x003d	61	02 1B	2	27	539	539		0000 0010 0001 1011
62	0x003e	62	01 EA	1	234	490	490		0000 0001 1110 1010
63	0x003f	63	00 DB	0	219	219	219		0000 0000 1101 1011
64	0x0040	64	00 DC	0	220	220	220		0000 0000 1101 1100
65	0x0041	65	00 8E	0	142	142	142		0000 0000 1000 1110
66	0x0042	66	01 D8	1	216	472	472		0000 0001 1101 1000
67	0x0043	67	01 61	1	97	353	353		0000 0001 0110 0001
68	0x0044	68	01 EB	1	235	491	491		0000 0001 1110 1011
69	0x0045	69	01 EC	1	236	492	492		0000 0001 1110 1100
70	0x0046	70	01 F4	1	244	500	500		0000 0001 1111 0100
